,Unnamed: 0,Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Driving_Experience,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
25019,32168,200501TC00081,1,21,0.0,18,0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1,45.171436800880315,18.994136011749042,,,,,
8446,10715,200501HT20904,2,9,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,49.171436800880315,23.994136011749042,1896.0,2.0,1.0,2.0,1.0
31012,39721,200501XD80285,1,9,0.0,1,0,0.0,0.0,4.0,1.0,10.0,2.0,1.0,15.0,2,53.171436800880315,23.994136011749042,,,,4.0,1.0
35136,45135,200501YR90573,1,19,0.0,3,0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,66.17143680088031,28.994136011749042,,,,2.0,1.0
34861,44751,200501YR90296,1,9,0.0,6,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,51.171436800880315,23.994136011749042,,,,8.0,2.0
5144,6422,200501EO41307,1,9,0.0,9,0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,51.171436800880315,23.994136011749042,,,,3.0,1.0
28072,35996,200501TX20742,1,11,0.0,18,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1,72.17143680088031,33.99413601174904,3900.0,2.0,2.0,6.0,1.0
27126,34836,200501TX20063,2,9,0.0,3,0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,2,63.171436800880315,28.994136011749042,1796.0,1.0,11.0,4.0,1.0
3928,4893,200501EO40327,1,11,0.0,9,0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1,74.17143680088031,33.99413601174904,8268.0,2.0,2.0,,
27591,35411,200501TX20402,2,9,0.0,4,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,58.171436800880315,28.994136011749042,1196.0,1.0,11.0,2.0,1.0
